win,lose,probability
Milwaukee Bucks,Indiana Pacers,0.58
Los Angeles Clippers,Oklahoma City Thunder,0.64
Los Angeles Lakers,Denver Nuggets,0.67
Cleveland Cavaliers,Atlanta Hawks,0.68
Philadelphia 76ers,Detroit Pistons,0.75
Toronto Raptors,Indiana Pacers,0.7
Washington Wizards,New York Knicks,0.51
Orlando Magic,Chicago Bulls,0.67
Utah Jazz,Miami Heat,0.55
San Antonio Spurs,Memphis Grizzlies,0.58
Denver Nuggets,Phoenix Suns,0.73
New Orleans Pelicans,Portland Trail Blazers,0.51
Houston Rockets,Sacramento Kings,0.69
Minnesota Timberwolves,Golden State Warriors,0.55
Toronto Raptors,Boston Celtics,0.54
Milwaukee Bucks,Philadelphia 76ers,0.84
Houston Rockets,Golden State Warriors,0.79
Los Angeles Lakers,Los Angeles Clippers,0.56
Denver Nuggets,New Orleans Pelicans,0.69
Washington Wizards,Detroit Pistons,0.56
Brooklyn Nets,New York Knicks,0.69
Dallas Mavericks,San Antonio Spurs,0.63
Oklahoma City Thunder,Memphis Grizzlies,0.56
Sacramento Kings,Minnesota Timberwolves,0.57
Utah Jazz,Portland Trail Blazers,0.72
Boston Celtics,Cleveland Cavaliers,0.89
Oklahoma City Thunder,Charlotte Hornets,0.8
Philadelphia 76ers,Orlando Magic,0.67
Milwaukee Bucks,Atlanta Hawks,0.94
Indiana Pacers,Miami Heat,0.57
Phoenix Suns,Golden State Warriors,0.6
Denver Nuggets,Memphis Grizzlies,0.63
Toronto Raptors,Boston Celtics,0.58
Indiana Pacers,New Orleans Pelicans,0.71
Chicago Bulls,Atlanta Hawks,0.74
Houston Rockets,Brooklyn Nets,0.63
Miami Heat,Philadelphia 76ers,0.56
Minnesota Timberwolves,Cleveland Cavaliers,0.67
Washington Wizards,New York Knicks,0.66
Dallas Mavericks,Golden State Warriors,0.8
Milwaukee Bucks,Orlando Magic,0.7
San Antonio Spurs,Detroit Pistons,0.51
Sacramento Kings,Phoenix Suns,0.52
Los Angeles Lakers,Portland Trail Blazers,0.84
Utah Jazz,Los Angeles Clippers,0.51
Toronto Raptors,Oklahoma City Thunder,0.6
Denver Nuggets,Sacramento Kings,0.72
Memphis Grizzlies,Charlotte Hornets,0.6
Houston Rockets,New Orleans Pelicans,0.66
Los Angeles Lakers,Dallas Mavericks,0.66
Orlando Magic,Atlanta Hawks,0.7
Miami Heat,Washington Wizards,0.75
Milwaukee Bucks,Chicago Bulls,0.92
Brooklyn Nets,Minnesota Timberwolves,0.69
Utah Jazz,Detroit Pistons,0.78
Portland Trail Blazers,Phoenix Suns,0.56
Boston Celtics,Charlotte Hornets,0.84
Philadelphia 76ers,Indiana Pacers,0.53
Los Angeles Clippers,Sacramento Kings,0.79
Houston Rockets,Denver Nuggets,0.52
San Antonio Spurs,Golden State Warriors,0.67
Toronto Raptors,Cleveland Cavaliers,0.92
Dallas Mavericks,Oklahoma City Thunder,0.54
Orlando Magic,Washington Wizards,0.66
Portland Trail Blazers,New York Knicks,0.58
Milwaukee Bucks,Minnesota Timberwolves,0.84
Los Angeles Lakers,Phoenix Suns,0.83
Cleveland Cavaliers,Charlotte Hornets,0.53
Denver Nuggets,Indiana Pacers,0.6
Toronto Raptors,Miami Heat,0.63
